Timestamp,instructions,LLC-load-misses
    32.515873012,493363804,627228
    32.617928553,531959803,356455
    32.719206978,451295896,368693
    32.820699400,487007367,498707
    32.921007898,521240176,503428
    33.022564832,469739102,451336
    33.124092567,471658852,535150
    33.225243164,537146662,471656
    33.326990277,484643718,409744
    33.428053843,482342473,472521
    33.529851474,500852767,509370
    33.631177980,494106709,437217
    33.731850633,463901126,455882
    33.832142623,504211267,429780
    33.933803070,505525385,465919
    34.035394455,490093672,390669
    34.135690323,462306403,461077
    34.235992698,482698876,550764
    34.336540279,495596879,446993
    34.437554980,485295191,373588
    34.538271215,485364907,537789
    34.638467455,516318124,417733
    34.738767197,478843608,346279
    34.839151362,457771177,516832
    34.941859544,525344927,551860
    35.042155991,490466404,371335
    35.143963731,428326421,422321
    35.245644467,506128109,632952
    35.346006493,513243177,297379
    35.447498227,436942841,325237
    35.549865069,503503703,678508
    35.651047150,531680271,401543
    35.752076892,439851968,322791
    35.853244089,478429381,630108
    35.956517611,554438400,498926
    36.056859753,436694358,327522
    36.157154009,436147403,517696
    36.258977736,549719170,594107
    36.359891870,480158106,294878
    36.460199695,451029391,450662
    36.561991312,491237920,1913514
    36.663240052,417124994,2384190
    36.764870740,364732879,2648036
    36.866165634,421730130,4808889
    36.966938282,392553242,2232608
    37.068532204,423205098,1906479
    37.170659147,444875765,1718769
    37.270848064,447393330,507156
    37.371058423,472772624,247989
    37.471249781,450763159,205268
    37.571563535,471581296,235205
    37.671763468,432629742,250277
    37.771958198,472952055,210178
    37.872140952,254835899,2053199
    37.972622122,317216225,2824074
    38.072809140,209114225,5035888
    38.172999446,86472380,2634541
    38.273163802,90475984,3504840
    38.345371127,17531754,160753
